Overall Rating,Comments,Feedback Category
Neutral,It can be confusing with the different book stores to shop at (ex. Book Clubs vs regular site).,Website- General Comment/Navigation
Neutral,"slow,",Website- General Comment/Navigation
Neutral,I can’t get the books in the cart!!!!!!,Website- General Comment/Navigation
Satisfied,Still a great value.  Wish the $1 choice for teachers did not need such a high student order value.,Price
Very Satisfied,Very easy to find items and place order. Thank you!,Thanks/Praise
Neutral,I was not able to choose a option to have it delivered to my home instead of the school.,All Other
Satisfied,Somehow my account defaults to shop as a parent. It is a hassle to have to change it to shop as a teacher every time a visit the site.,All Other
Neutral,excellent,Thanks/Praise
Very Satisfied,Very easy to navigate,Thanks/Praise
Satisfied,"There were times when the site was  not advancing after I clicked ""Add to Cart.""  After the 6th time, it finally accepted it but 6 orders of the same book ended up in my Cart.  Glad I caught it before proceeding to payment.",Website- General Comment/Navigation
Neutral,login pop up window would not load,Website- General Comment/Navigation
Neutral,I was looking for better deals for book purchases as gifts for my students.,Bonus Points/Rewards/Promos
Very Satisfied,I love scholastic books!,Thanks/Praise
Satisfied,I wish shopping was set up more like a bookstore or amazon rather than a flyer.,Website- Filter/Search Options
Very Disappointed,My classroom wish list as a teacher has been removed multiple times - this makes it difficult to keep track of the books I am planning to add to my library and is incredibly unhelpful to parents looking to donate books to our classroom library. PLEASE look into this issue.,All Other
Neutral,I had to sign in 3 times in order to get to my child's teacher and to my account. It should be easier to link your account to a teachers.,Connecting Teacher/Class Code
Very Satisfied,Easy to navigate website.,Thanks/Praise
Neutral,Can't change last year's teacher to this year's teacher to order.,Website- General Comment/Navigation
Neutral,"I am trying to set a order due date for my class and print a letter. I don't do this often enough apparently, because I get lost every time I do this and it makes it frustrating every time!",Website- General Comment/Navigation
Neutral,"Still missing dollar titles, especially at Christmas time for gifts!",Bonus Points/Rewards/Promos
Neutral,"I love this website, it if really fun and helps me find the books I want to order",Thanks/Praise
Satisfied,"Wish Scholastic was more multi-grade friendly.  For example, letters and recommendations are all geared toward teachers with only one grade level, but lots of teachers teach two or more grade levels.",Products Offered/ Availability
Satisfied,"I just wanted to order the forms to send home with the kids.  I had requested these several weeks back, thinking they would arrive when school started.  Sadly nothing has arrived.  Figured I would go online and attempt to request these again......only to discover this doesn't appear to be an option.",Kits
Satisfied,It was a bit confusing when trying to link up to my child’s teacher but once I figured that out it was simple.,Connecting Teacher/Class Code
Satisfied,It was difficult to navigate to the appropriate page to link with my child’s teacher as this is my first experience and the pamphlet had minimal directions. Took me a bit but I figured it out.,Connecting Teacher/Class Code
Disappointed,I was not able to view flyer,Website- General Comment/Navigation
Neutral,Survey too quick before I finished ordering,Website- Survey Pop Up Issue
Neutral,Thanks for making books affordable even for low-income families.,Thanks/Praise
Satisfied,I can't find my kids teachers Wishlist to be able to purchase books for her.,All Other
Very Satisfied,there was one time it did not find what i was looking for . Very easy to use.,Thanks/Praise
Satisfied,"Is there a way to print this order with the book images and students' names?  It's very difficult to use your packing slip to check the order & hand them out, since the font is so tiny and names are out of order.",Website- General Comment/Navigation
Satisfied,A bit cumbersome if you have both a parent account and are a teacher.  Maybe they could be linked somehow,Website- General Comment/Navigation
Very Satisfied,Very user friendly.  I would have liked to have seen a link where you can enter your class roster as a whole .,Thanks/Praise
Very Satisfied,I love that you have awsome stuff for cheap amounts.,Thanks/Praise
Very Satisfied,Easy to ordering,Thanks/Praise
Neutral,"I had a list of books I was looking for, but none of them were available through Scholastic.",Products Offered/ Availability
Satisfied,Finding my class Code,Connecting Teacher/Class Code
Very Satisfied,Easy to find his teacher- great search engine,Thanks/Praise
Disappointed,"Was in the middle of ordering and got redirected to fill out this survey hahaha :) otherwise, it would have been good!",Website- Survey Pop Up Issue
Satisfied,Easy website to use.,Thanks/Praise
Very Satisfied,I really appreciate the book club deals!,Thanks/Praise
Very Satisfied,"It would be nice if people could select the amount to give to the kids reading non profit. I had hoped to do $7, but could only do 1, 2, 5, 10, 20.   Small issue though.",Website- General Comment/Navigation
Very Disappointed,"I submitted an email request for help last week and I never heard back. That is quite frustrating. The time is past now, but I don't know why no one ever got back to me after I submitted a request for help twice.",All Other
Very Satisfied,"Love the site, book selection and prices too. I used to order via the Troll paper flyer as a kid and it's so nice to see that Scholastic is still available for my son today. It has also been very nostalgic for me!",Thanks/Praise
Disappointed,It being different from the regular scholastic site was confusing.,Website- General Comment/Navigation
Satisfied,"Please consider offering good incentives for teachers to use book orders and to order for their own classrooms.  WIth budgets so tight nowadays, so many teachers are just not passing the flyers out to kids anymore.  Part of the reason is a lack of good incentives, such as a lot of Bonus Points to use each month, free book offers, etc.",Bonus Points/Rewards/Promos
Disappointed,Site difficult to search,Website- Filter/Search Options
Very Satisfied,Noticed it didn't update my information,All Other
Very Satisfied,Site is easy to navigate and love the book selections!,Thanks/Praise
Very Disappointed,"Apparently I have an account but cannot remember the password. When I try to reset, I have trouble and it won't let me do it.     Too bad...I would order",Website- General Comment/Navigation
Very Satisfied,Love how easy the site is,Thanks/Praise
Very Satisfied,Feel their should be more chapter books for 3rd graders,Products Offered/ Availability
Very Satisfied,Very easy to set up account and fast.,Thanks/Praise
Neutral,You’re asking me to fill out the surgery before allowing me to place my order so I don’t know if I’m going to experience any difficulties with the site yet and I obviously didn’t place my order yet.,Website- Survey Pop Up Issue
Very Satisfied,I love that my  child's classroom gets points or books or whatever it is. My child loves to read and her teacher is making that better and better.,Thanks/Praise
Neutral,I updated my grandson’s school/teacher so I can browse through out the year or order books he’s wanting.,Connecting Teacher/Class Code
Satisfied,Survey was presented to me before I was able to execute any transaction.,Website- Survey Pop Up Issue
Very Satisfied,I mailed a physical copy of one of my students orders as well as my own last week Monday or Tuesday and I still have not received confirmation of receiving the order.,All Other
Satisfied,Did not have one of the books looking for but had others.,Products Offered/ Availability
Very Satisfied,I have had a great experience working with Scholastic books.  I have called for help in the past and always been treated with courtesy and prompt attention.,Thanks/Praise
Very Satisfied,A big thank you for ALL the wonderful books!,Thanks/Praise
Very Disappointed,"I received an email saying action required and to submit a student's order, but my cart is empty. I also continually add to my wish list, and it always disappears.",All Other
Neutral,"The website is difficult to navigate.  Several attempts on one part told me I had typed the book title in wrong.  In a different area, when typing the exact same title, I was taken to the book, which was advertised in the flier but now out of stock.",Website- General Comment/Navigation
Satisfied,Everything was great but it is not the greatest for mobile friendly!,Website- Mobile Compatability
Neutral,Finding the appropriate book for my child,Products Offered/ Availability
Satisfied,I'm concerned about shipping.  Last year it took over a month to get books in so I didn't place orders very often.  I'm hoping its a lot more efficient this year.,All Other
Neutral,I couldn’t find the teacher wish list.,All Other
Neutral,I have been requesting paper book club catalogs for my class for months!  The parents prefer the paper catalogs which they look over with their little ones.  The amount of books ordered is al least 4 times as many when they are given the paper catalogs.  Most will not sit and look at the computer with their little ones as they are trying to limit screen time.,Kits
Very Satisfied,Rostering students,Website- General Comment/Navigation
Neutral,I would like to have books shipped to me instead of to the school.  I like ordering books as gifts but then the child sees them and it is a burden to have the child lug them home.,All Other
Very Satisfied,"I love scholastic, still looking through the book lists",Thanks/Praise
Neutral,Thank you for adding new titles to your inventory regularly,Thanks/Praise
Very Satisfied,Easy and great!,Thanks/Praise
Very Satisfied,"I earned a free book pick. When I entered the item number it didn't show up.  So, I ended up ordering another book.",Bonus Points/Rewards/Promos
Satisfied,Could not find teacher,Connecting Teacher/Class Code
Very Satisfied,Website layout finding all books together and pricing them from high to low.,Website- Filter/Search Options
Satisfied,It would help if the Quick Look had a one-sentence summary.,Website- Filter/Search Options
Very Satisfied,I loved that I could put multiple kids on one order form!,Thanks/Praise
Satisfied,Scrolling down for the birth month,Website- General Comment/Navigation
Very Satisfied,"If you could encourage authors to write middle school/high school level themes/illustrations and topics with K-3 reading levels in Spanish, that would get many sales from World Language teachers who need elementary reading level materials with upper grade level themes/pictures/graphics in Spanish.",Products Offered/ Availability
Very Disappointed,I have an $80 credit and I do not see it posted on my account. There is no information on how to access the money that has been donated to my class.,Account Balance/Payment
Very Satisfied,Great selection of books,Thanks/Praise
Satisfied,"Would be nice to type in the discount code and have it take off a $5.00 book that is already on the list. Instead of having to find it in the list, add it again, and then take one off.",Bonus Points/Rewards/Promos
Satisfied,Site listed me as parent. I am grandmother. I had some difficulty entering child birth month and year. I don’t know if my privacy wishes are listed.,Website- General Comment/Navigation
Disappointed,When I went to the survey I lost my order.,Website- Survey Pop Up Issue
Satisfied,It would be helpful if there was a search function for the reward items. There have been many times where this would have been helpful. Unless there is one and we're missing it. :),Website- Filter/Search Options
Disappointed,I was a bit upset that on the parent website I could order some of the I Survived books individually but when I was on the book clubs site I could not order those books.,Products Offered/ Availability
Very Satisfied,it was very easy to order books,Thanks/Praise
Neutral,It is hard to find if I have any class orders.,Website- General Comment/Navigation
Neutral,"Was looking for the dollar books. As teachers, we can't afford to purchase books for our students at $3 to $7 a book for twenty some kids. I am hoping I just missed them or my students won't be getting very many books from me this year.",Price
Disappointed,This function isn't working and the live chat box just disappeared. Not user friendly at all.,Website- General Comment/Navigation
Satisfied,Had a Hard time going to book and look at sample pages,Website- Filter/Search Options
Satisfied,"Overall the Scholastic Book Clubs site is easy to use. One frustration I experienced was that it wasn't clear to me how to view the teacher's wish list. A few books from the list showed up on my search pages, but I was hoping to find a comprehensive list.",All Other
Very Satisfied,great !,Thanks/Praise
Satisfied,"one of the codes from the flyer did not show the book I was looking for, but when I typed in the title it did come up",Website- Filter/Search Options
Satisfied,"Would really like to see prizes to go with parents who orders books, i.e., erasers, posters, book marks or stickers.  It really was a nice incentive to give to parents.",Products Offered/ Availability
Disappointed,The website is super hard to navigate.  Hard to place orders as a teacher and then place orders for students (orders coming from parents).  I do not feel this site is user friendly and I always dread going on it.,Website- General Comment/Navigation
Satisfied,I was wondering how to start a new book order I am sending home today .-,Website- General Comment/Navigation
Neutral,"Prices went up since last year, probably won’t be ordering books anymore, which is very upsetting because the prices are what always brought me back to ordering over and over again.",Price
Satisfied,Forced me to take the survey before I was done shopping,Website- Survey Pop Up Issue
Very Satisfied,Very easy for teachers and parents to follow!,Thanks/Praise
Very Satisfied,I am going to place an order.,Intend To Order in Future
Very Satisfied,I was pleased with how quickly I got a new password.,Thanks/Praise
Very Satisfied,A bit difficult but that may have been due to a malfunction in my computer.,Website- General Comment/Navigation
Neutral,Not enough individual series books,Products Offered/ Availability
Very Satisfied,The online book store is fascinating with variety from cool soft copy to straight hard copy at low expense.,Thanks/Praise
Very Satisfied,It’s awesome I loved it isabella will love to read her new books,Thanks/Praise
Very Disappointed,"I can never find the right thing I'm looking for on this website, I always have a lot of difficulty navigating",Website- Filter/Search Options
Very Satisfied,The website is easy to navigate.  I love all the back to school promotions you offer!  Thank you.,Thanks/Praise
Very Satisfied,It's very fun there should be more of these sites.,Thanks/Praise
Neutral,"My daughter receives flyers at school and I receive emails from Scholastic , After she showed me her choices on the flyer that she received at school, I opened up my most recent email and tried shopping there.  Book titles and item numbers listed on the flyer were not on the Scholastic page that I got through my emails, and book titles were unable to be located. I eventually went to scholastic.com/bookclubs and I was able to use titles/item numbers but it would be much more user-friendly if all of these products were available on all scholastic sites.",Website- Filter/Search Options
Very Satisfied,Haven't placed my order yet the survey popped up lol,Website- Survey Pop Up Issue
Very Satisfied,"I originally couldn't find the same books from my child's Scholastic flyer on the site, then I found the Book Club section.",Website- General Comment/Navigation
Satisfied,My other student's teacher didn't seem to have an account.,Connecting Teacher/Class Code
Neutral,Love the $1 books!!! A great way to build our library without breaking the bank!! Thank you for those!!,Thanks/Praise
Neutral,"I tried to reach out about the Reads promotion code not working and never got a response. I have placed my order- which is over $25 dollars- but when I would enter in the reads code it would say coupon is expired, but the promotion is still being advertised. How can I redeem for my free book?",Bonus Points/Rewards/Promos
Satisfied,"It was difficult to find the correct website for my child's classroom order. The teacher had provided the website of 'scholastic.com' which did not have an obvious spot to put the classroom code, so I ended up just googling.",Connecting Teacher/Class Code
Very Satisfied,Initially tried to get on the site via my phone and was having difficulties so I switched to a computer and everything worked great.,Website- Mobile Compatability
Satisfied,So far it's been easy to navigate. This is the first time I am ordering them online.,Thanks/Praise
Neutral,"I was frustrated by the fact that there was no way to see my cart without creating an account. Each of the paper catalogs have some overlap in titles, and I wanted to check if I had already added a title. The fact that there is no guest mode was a major deterrent. I will use the service to support my child's teacher, but I will not be placing the order online.",All Other
Neutral,VERY limited suggestions when using book finder.,Products Offered/ Availability
Satisfied,I can't see where to set my due date for book order.,Website- General Comment/Navigation
Satisfied,trying to introduce new teachers to scholastic and had trouble accessing information.,Website- General Comment/Navigation
Very Satisfied,"Most of the books in my classroom library that are read the most, I have gotten through Scholastic.",Thanks/Praise
Satisfied,"to make a purchase we must register first, I did not know that, so it was a bit difficult for me",All Other
Disappointed,"As Bookkeeper, I am attempting to obtain an invoice to pay the purchase order. Schools are tax exempt I have submitted our tax exempt certificate multiple times. I do not understand how a company that services schools makes it so difficult to use the purchase order system and receive an invoice (in order to pay the balance) that is tax exempt.",Account Balance/Payment
Very Satisfied,I had a flyer from the school so being able to just enter the codes from the flyer made this process quick and easy!   Great deals on good books!,Thanks/Praise
Very Satisfied,I just got to the website so I havent done anything yet.,Intend To Order in Future
Very Satisfied,"I APPRECIATE PAYPAL BEING AN OPTION AT CHECKOUT.  MADE IT A BREEZE TO CHECKOUT AND NOT HAVE TO PUT CARD INFORMATION ON YET ANOTHER WEBSITE.  ALSO I LIKE THE REVIEWS PEOPLE GIVE ON THE BOOKS,  AND THE PREVIEW ONLINE THAT IS NOT AVAILABLE IN THE FLYERS! WILL PLAN ON USING THE ONLINE ORDER FORM FOR BOOKS AGAIN.  THANK YOU!",Thanks/Praise
Satisfied,"I really love using scholastic. However, I was very nervous to use again becuase last school year I had so many issues with ordering and shipping. It was very unorganzied and no one was really willing to help me. I am hoping my experience this year is better.",All Other
Very Satisfied,I have 2 kids. I selected both kids but was only able to get 1 free book with code. I hope both teachers get credit for books ordered for that child.,Bonus Points/Rewards/Promos
Very Satisfied,"Love how easy it is to connect my account with my child’s teacher, the paper flyers rarely make it home!",Thanks/Praise
Very Satisfied,"My name is Ivy Smith.A teacher at Hudsonk8 School. School:Bertram A.Hudson.3300-F.Shuttieworth Drive,Birmingham,Al  35207  I am a Third Grade Teacher.I need  code to order my  students book. There are three third grade teacher.Thanks so much.",All Other
Satisfied,It took me forever to log on,Website- General Comment/Navigation
Neutral,Just browsing. Will look again later.,Intend To Order in Future
Very Disappointed,It's too confusing to locate how to link an order to a teacher code. There needs to be a more obvious/seamless way to do so.,Connecting Teacher/Class Code
Disappointed,"Not user friendly. Very clunky on mobile. I said yes to survey & brought me here immediately. It was supposed to wait until after my visit was done, right?",Website- Survey Pop Up Issue
Very Satisfied,"I am NOT getting the book club flyers for some reason....I teach second grade but would like to get first, second and third flyers if possible.    Thank you  Sarah Cox  5666 E. 81 St  Tulsa ok 74137",Kits
Satisfied,Trying to find books that would interest my child,Products Offered/ Availability
Very Satisfied,Love this site! It’s super easy to use and I love that it gives you the age range for each book! It makes it much easier to pick books for my kids!,Thanks/Praise
Satisfied,"I understand that things are more expensive across the board today - but it is sad that book prices are increasing so much that it is getting more difficult to provide fun new books for my class.  The school library budget is almost nonexistent and I try to keep the newest books in my room and as we use/love the books into disrepair, I like to replace so we have nice books to read.  I love to give books as gifts at Christmas and end of year so I hope that the $10 for 10 packages will still be available.",Price
Very Satisfied,Easy to navigate site.,Thanks/Praise
Neutral,Once you sign out the first time it’s very hard to get back.,Website- General Comment/Navigation
Satisfied,Can you please send me paper copy of the flyer for my students,Kits
Very Satisfied,Excellent site.,Thanks/Praise
Satisfied,Website is lagging,Website- General Comment/Navigation
Disappointed,I had a hard time finding value packs like last year.,Website- Filter/Search Options
Satisfied,It would be a nice option to have books sent home so they can be a gift.,All Other
Satisfied,I love Scholastic! It may be nice if you all sent less emails. As a teacher we receive tons of emails daily from our site and district. Please take that into consideration.,Thanks/Praise
Neutral,Such a wonderful selection of books. Thank you,Thanks/Praise
Neutral,Adding to car could be easier instead of having to click on the book. I'd like to be able to add it from the search pages. Takes less time.,Website- General Comment/Navigation
Neutral,Could not scroll to click submit button. Had to turn phone sideways and try to find the button.,Website- Mobile Compatability
Disappointed,It is very hard to find the ewallet information on how to check balance,Account Balance/Payment
Satisfied,I haven't submitted an order yet,Intend To Order in Future
Neutral,The survey came up before I got to order,Website- Survey Pop Up Issue
Very Satisfied,Completed from my mobile app and works very well.,Thanks/Praise
Disappointed,I was able to order but I am not allowed to send emails to parents so I tried to get flyers and never received any so I was not able to order for my students last year.,Kits
Very Satisfied,Very easy to find books. Everything was made east.,Thanks/Praise
Satisfied,I signed in twice.,All Other
Very Satisfied,It was easy creating an account,Thanks/Praise
Very Satisfied,There were so many books to choose from and were age appropriate . There absolutely is something for everyone.,Thanks/Praise
Disappointed,"There's a promotion where we as teachers can purchase a six pack of Kindness A to Z alphabet books for $7 that my friend told me about, but it's not available on the website.    Each and every time I click a new flyer, a separate tutorial wizard pops up.  Can't the site remember my choices for five minutes or at least mark that I've already done the silly thing once during this visit and don't need a refresher?    Once I zoom in on a book to read its page preview, the X button to click out of that book disappears, so I have to use the back arrow which kicks me out of the flyer I'm trying to shop.  Just bring me back to the normal view of the flyer, like a normal website.    Also, most of these books are same price or more expensive than Amazon.  Certain books are still easier to find on here, but there's barely any hardcover option and it's often cheaper to just get the used hardcover on Amazon than the new paperback through Scholastic.",Products Offered/ Availability
Very Satisfied,Easy to use!,Thanks/Praise
Very Satisfied,Great and fast,Thanks/Praise
Neutral,"I searched for books about past presidents, founding of the country etc, US history in general, there are none.",Products Offered/ Availability
Satisfied,Site is fine.  I like that it saves your place because there is a lot of going back in the navigation.  I also like the favorites feature and the recommended books feature.,Thanks/Praise
Satisfied,Looking for Lit Sets (multiple copies of the same book but haven't found the groups yet),Products Offered/ Availability
Neutral,don't have what I want looking,Products Offered/ Availability
Satisfied,"The reading levels popup was difficult to close, so going ""back"" cycled through.",Website- General Comment/Navigation
Very Satisfied,Easy to add books to  our order using flyer item codes! Also loved the free book promo and how easy it was to select an eligible book from the grade level list provided!,Thanks/Praise
Very Satisfied,Very easy and quick,Thanks/Praise
Neutral,Navigating the website is not concise and remains challenging.,Website- General Comment/Navigation
Neutral,Can’t confirm on free book,Bonus Points/Rewards/Promos
Disappointed,Not easy to navigate. Kept getting kicked off when I attempted to navigate.,Website- General Comment/Navigation
Neutral,A LITTLE TROUBLE WITH COUPONS... WHERE CAN I GET COUPON CODES THAT WORK FROM THE BOOK CLUB?,Bonus Points/Rewards/Promos
Satisfied,Love Scholastic.  No reason to complain,Thanks/Praise
Very Satisfied,Economical way to build a home and school library!!!,Thanks/Praise
Very Satisfied,"Easy to use, quick to complete.  It would be nice to be able to donate to the kids' classroom, though.",Thanks/Praise
Satisfied,Some items were not available.,Products Offered/ Availability
Very Satisfied,I haven’t checked out yet. It took me to the survey,Website- Survey Pop Up Issue
Very Satisfied,Reading is good!,Thanks/Praise
Very Satisfied,Super easy to sign up and search by grades.,Thanks/Praise
Very Satisfied,We bought books at our son’s book fair today and I wanted to look into seeing what other books are offered so I can build a wide variety of books for my children at home and to look into books for my son’s teacher. I can’t wait to do more shopping on the website!,Thanks/Praise
Disappointed,I am still upset with Scholastic over the complications from last year. There are still books that I ordered that I never got sent to me.,Prior Year Shipping Delay
Satisfied,"had to call scholastic to see why items were not showing up in my cart that parents had ordered, great customer service checked it out and fixed issue. Thanks.",Thanks/Praise
Very Satisfied,It was easy and the website is very user-friendly.,Thanks/Praise
Very Disappointed,"I almost didn't bother getting on bc I have tried to order from Scholastic in past years and I always get frustrated with the site and end up not ordering.  Actually, I usually end up going to Barnes and Noble or Amazon to buy instead even though I didn't have any intention of buying a book necessarily until after I failed on Scholastic.  Your site is TERRIBLE to use and has been for years.  There is literally not one book that shows up under young adult and you can't browse for books.  You have what's recommended by Scholastic and anything else is a nightmare to find.  You basically have to have a book in mind and then check and see if that author or title is listed.  It is not user friendly at all.",Website- Filter/Search Options
Disappointed,"Very confusing to navigate and is usually a frustrating, knot in your stomach experience.  I'm happiest when I can finally hit the ""submit"" button.",Website- General Comment/Navigation
Very Satisfied,Fast and easy to use!,Thanks/Praise
Satisfied,I enjoy ordering books online for her classroom. I save some money and the books easily get delivered to her teacher.,Thanks/Praise
Neutral,Not sure how to order paper flyers to send home with students,Kits
Neutral,I could not find where I can request book order sheets to be sent.,Kits
Satisfied,I enjoyed browsing books for my grandchild.,Thanks/Praise
Very Satisfied,Survey popped up before I was able to look and browse at what is on sale for class sets of books.,Website- Survey Pop Up Issue
Satisfied,Fast and easy,Thanks/Praise
Satisfied,everything worked well,Thanks/Praise
Satisfied,I didn't see a place to enter a class code QQ38V,Connecting Teacher/Class Code
Neutral,Love that this was my favorite thing as a child and it’s still around for my son to enjoy!,Thanks/Praise
Disappointed,"I have been placing orders online from your website for years.  It is very hard to maneuver and find the right section of your website to place a classroom order.  It is never clear exactly where I need to be to place the classroom order.  I would recommend Scholastic Book Clubs, but tell them the website is confusing.",Website- General Comment/Navigation
Very Satisfied,I was impressed with the browse experience of your site and with the shop by Flyer view. Well done!,Thanks/Praise
Neutral,Better browsing would be nice,Website- Filter/Search Options
Satisfied,Super easy,Thanks/Praise
Very Satisfied,I love Scholastic and used it as a child as well,Thanks/Praise
Neutral,Teachers not being available makes it difficult to send books for my student.,All Other
Neutral,I thought I already set up something for my students' families to order but I don't see that it is there nor that any orders were placed.,All Other
Satisfied,Please bring back $1 books,Price
Neutral,"It’s hard to find a place where all the book are located. If I load the digital flyer, it would be nice to be able to click on a book and it link me to actually order it.",Website- Filter/Search Options
Very Satisfied,I love the first book order of the school year!   Always get to use the extra bonus points and parents are excited to make orders.   Thank you for keeping the order to get shipped to my home   We run limited hours and it’s very hard for us to be onsite to sign for the box! Jessica @ pixie playschool,Thanks/Praise
Neutral,it was very nice,Thanks/Praise
Neutral,Are so browse on my phone,Website- Mobile Compatability
Satisfied,Your inventory in terms of books are limited. I am sure your variety of books will increase when inflation is down.  A lot of teachers are struggling with all the increase in prices.,Products Offered/ Availability
Neutral,Navigating the site is not user-friendly.  Several times I had to really hunt to know where to go.,Website- General Comment/Navigation
Satisfied,Dollar store didn't open after order. A little confusing for checkout.,Website- General Comment/Navigation
Very Satisfied,Thank you  for making 1$ books available.,Thanks/Praise
Very Satisfied,adding my orders as they come in,Thanks/Praise
Very Satisfied,Easy effective,Thanks/Praise
Neutral,I do wish this was more mobile friendly.,Website- Mobile Compatability
Very Satisfied,"great site, simple to use.  good job site designers!",Thanks/Praise
Neutral,I love that I’m able to connect to his class and order books . Sent to his teacher directly . The free books that are earned are an extra bonus to help build his library and at school.,Thanks/Praise
Satisfied,Hoping this year orders get to students faster than last year.,Prior Year Shipping Delay
Neutral,This is a great website to buy books from.,Thanks/Praise
Very Satisfied,None,All Other
Very Satisfied,The website is very easy to navigate,Thanks/Praise
Very Satisfied,Very simply an easy!,Thanks/Praise
Very Satisfied,Quick and easy,Thanks/Praise
Very Satisfied,Great navigation,Thanks/Praise
Very Satisfied,The survey popped up before I was able to complete my order.,Website- Survey Pop Up Issue
Very Disappointed,"Why isn't there a place to order paper flyers?  I looked in FAQs, and I didn't see anything about the topic.",Kits
Very Satisfied,REALLY AWSOME!!,Thanks/Praise
Very Satisfied,This survey actually popped up before I submitted my order but I've never had any issues in the past and do not anticipate that I will.,Website- Survey Pop Up Issue
Disappointed,A survey popped up in the middle of my trying to place an order. I clicked on the book I wanted and it just looped me back to signing in.,Website- Survey Pop Up Issue
Very Satisfied,The Scholastic Book Clubs website is user friendly. I enjoyed the Dollar Store access!,Thanks/Praise
Very Satisfied,Very easy 💜!,Thanks/Praise
Satisfied,Overall easy to figure everything out,Thanks/Praise
Very Satisfied,"Wasn’t using book club pages during order.  Should have been, but I feel directions weren’t clear enough. However, a call to Scholastic “cured” the problem.",Website- General Comment/Navigation
Satisfied,Getting out of one book description to go see another one is confusing,Website- General Comment/Navigation
Disappointed,Trying to add myself to a new school district and couldn't get that finished.,All Other
Satisfied,Just password problems since my husband changed my computer,All Other
Very Satisfied,"Easy to create an account, great products.",Thanks/Praise
Very Satisfied,I've always enjoyed ordering from here as I've also done with my grandson and now I'm able to do this with my granddaughter.,Thanks/Praise
Satisfied,Easy to use and didn’t error out like other sites.,Thanks/Praise
Disappointed,The site was oddly difficult to navigate new windows would open when certain links were clicked on and then I wasn't sure if I was still under my child's teachers site and my cart wouldn't always update as needed.,Website- General Comment/Navigation
Very Satisfied,"Great, it's easy",Thanks/Praise
Satisfied,Will be talking with my husband about how many to order!!,Thanks/Praise
Very Satisfied,So easy!,Thanks/Praise
Neutral,Trying to place an order but this survey came up and has blocked me from placing order…,Website- Survey Pop Up Issue
Very Satisfied,I got sent to this survey when trying to order my books!!,Website- Survey Pop Up Issue
Satisfied,I hope delivery has improved since Covid.  That really messed up alot of orders.,Prior Year Shipping Delay
Very Satisfied,Easy and quick to use.,Thanks/Praise
Very Satisfied,I love Scholastic book club...need a little more $1 book choices and cheap fun stuff to buy for teachers!!,Price
Very Satisfied,Site was easy to navigate and add the new teacher for my child .,Thanks/Praise
Satisfied,"Being a little unfamiliar with your site, I struggled to find where I could place my order to give credit to my child's teacher. I made an order last year and realized it probably did not go towards any classroom credit. Having links that are more forthright on your home page would be helpful.",Website- General Comment/Navigation
Disappointed,"i am so dismayed with scholastic and services as of late. After using book orders for the 39 years of my teaching career, I debate whether to offer book orders to my students. it has become more of a headache than a help to get orders processed and delivered. The prices are no longer family friendly.",Price
Neutral,It’s hard to know where I’m supposed to order. I go looking for books and then I’m out of the club? Or into it? It would be helpful for it to be clear I’m supporting the classroom and can search for books within that framework.,Website- General Comment/Navigation
Very Satisfied,My credit card is being declined. Does it by ANY chance give a  reason why from your end? Thank you so much for any guidance you can give me.,Account Balance/Payment
Satisfied,I wish there were more ways to sort and filter books as I'm searching for ones to add to our library or to gift to children.,Website- Filter/Search Options
Very Satisfied,was easy,Thanks/Praise
Satisfied,I am trying to use my points to purchase items for my classroom.  I hope you are planning on adding more to your selection.,Products Offered/ Availability
Very Satisfied,Vary easy to use!! Great job.,Thanks/Praise
Very Satisfied,This site is very easy,Thanks/Praise
Satisfied,"I'm assurming my flyers will be coming soon as I get them every year. Therefore I just requested some for her.     My email is: ketterhagen@waterford.k12.wi.us    Judy Ketterhagen  Evergreen Elementary School  817 W. Main Street  Waterford, WI 53185",Kits
Neutral,"I keep entering my class grade, but I never get any fliers sent to my school to pass out to the students.",Kits
Satisfied,I hope it doesn't take 3-4 weeks for kids to receive their books this year.,Prior Year Shipping Delay
Satisfied,Trying to change the phone number associated with my school.,All Other
Very Satisfied,"I chatted with a representative about removing tax from my order since we are tax exempt.  The representative was helpful and quick in responding, but the procedure seems cumbersome.  It is dependent on the buyer to remember to follow up, and it seems to require Scholastic to complete extra steps too.    However, if the Supreme Court says it must be done, so be it, I guess.",Account Balance/Payment
Neutral,I'm a little disappointed that the flyers were not automatically sent out for the start of the school year.  I'm hoping to get them before it's to late to place a Sept/Aug order.,Kits
Satisfied,"Broader range of books would be great, but books of interest were available.",Products Offered/ Availability
Satisfied,Looking for flyers and wondering if they are sent out automatically or do I need to request.,Kits
Neutral,How can I get a copy of the flyers?,Kits
Very Satisfied,Always love ordering from Scholastic!,Thanks/Praise
Satisfied,I'm a Teacher at La Petite Academy in Monona Wisconsin.  I would like to start giving out the flyers to the Parents.  I'm trying to set up a account to begin the process of earning points for our Center.                                       Michelle Stupar,Kits
Very Satisfied,I use this site as a teacher also!,Thanks/Praise
Very Satisfied,haven't received confirmation email yet,All Other
Very Satisfied,Great books,Thanks/Praise
Very Satisfied,This site is user friendly and fast. I love that it is connected to PayPal!!,Thanks/Praise
Satisfied,Love how easy is to find books!,Thanks/Praise
Very Satisfied,Everything was easy.,Thanks/Praise
