Overall Rating,Comments,Feedback Category
Very Satisfied,"Minor thing: when I picked my final item, I clicked continue shopping, and then I was having trouble locating any proceed to checkout button. My wife said click on the cart, and then suddenly I saw the cart icon right there. I'm a technically literate software developer (not web though), but I guess every other site has put their UX on steroids to maximize conversion and retrained our brains?    The other thing is I was unclear if I needed to go ahead and put the free book in the cart ahead of time, or if I was supposed to wait and shop for it at checkout. I did the latter.    When I did do the free book part, I was really impressed with how I could ""bank"" my current selection at the bottom of the UI while continuing to browse in case I found something better (which I did). Very nice feature.    A final comment: Scholastic is awesome. I'm glad you have the Book Trust thing, but I kinda wish there were a way I could directly (and anonymously) put up funds for my kid's classroom, in case",Thanks/Praise
Disappointed,From teacher it seems this is a good club cuz u get books for your child’s age range but I see books for 4th graders,All Other
Satisfied,"It took me to the questionnaire, before confirming my sale",Website Performance/Page Design
Neutral,I had a difficult time navigating the site. It took longer than I anticipated to find the correct place to enter an order.,Website Performance/Page Design
Satisfied,This site needs to be phone friendly some of us do this at work during our breaks or lunch and it would be nice,Website Performance/Page Design
Neutral,"Why is the upcoming Diary of a Wimpy Kid available of the parent site, but not the teacher site.?",All Other
Satisfied,I’m in the middle of trying to order books and you want me to take this survey,Website Performance/Page Design
Very Satisfied,Easy it use,Thanks/Praise
Neutral,"When I first came to the site I couldn't find a place to connect to my child's teacher, so instead I just put in my order.  I found it at the end, but it would be nice if I could do it at the beginning of my order too.",All Other
Satisfied,won't let me continue after selecting check payment,Website Performance/Page Design
Satisfied,The survey was prompted before I was able to complete my order,Website Performance/Page Design
Satisfied,"When earning free bucks to spend on classroom - this portion needs to be more user friendly. I feel like this part is very difficult to navigate, You should have it open in a separate tab because looking for a book to select is very hard.",Website Performance/Page Design
Neutral,Had a hard time being logged into my account and finding how to place the order with the class.     It was very nice though that I was able to use the book fair funds from last school year that My daughter did not spend.,All Other
Very Satisfied,This survey came up before I was done paying,Website Performance/Page Design
Satisfied,"I couldn't find the books I wanted on the book-club site, but they're available on the regular scholastic site.",All Other
Neutral,The site runs very slow sometimes,Website Performance/Page Design
Satisfied,I haven't had problems with Scholastic Book Clubs. I have had difficulty with Scholastic News.,Thanks/Praise
Neutral,It would be nice if we could cancel orders or change the shipping address of orders from the website.,All Other
Very Satisfied,Had no trouble and easy to use.,Thanks/Praise
Satisfied,Is fine. Just a little slow is all.,Website Performance/Page Design
Very Satisfied,I really got great use of the points.,Thanks/Praise
Very Satisfied,I need the 5th grade flyer not the 4th grade flyers. Can you send me September's flyer ASAP? I will need 40 flyers because I teach two reading classes. thank you and hope to hear from you soon.,All Other
Satisfied,Please bring back $1 books for kids.,All Other
Very Satisfied,The book selection is wide and provides for all different tastes. The bundles are a great buy.,Thanks/Praise
Neutral,Would be easier to have ability to add cart from the item list. So when scrolling through and click to add and keep scrolling.,Website Performance/Page Design
Very Satisfied,Very easy to use,Thanks/Praise
Disappointed,Confusing by to place orders through a book club. Can’t find the same books as I found without the book club sign innwhich is annoying.,All Other
Satisfied,I haven't been able to complete the order yet.,Website Performance/Page Design
Very Satisfied,Was a simple and smooth process. No issues at all,Thanks/Praise
Disappointed,"This website is such a mess. It would be great if it was modeled after any other e-commerce site, literally any. I’m constantly shocked at how old this web design is and how clunky it is. There isn’t enough time in the day to volunteer to tell you every way this site is bad, clunky, buggy, ugly, and altogether non-functional - please just start over from the ground up.     I will add just this one thing- most surveys are clever enough to prompt after your purchase is complete or will open in another tab- this one navigated me away from the site and what I was looking at to purchase. Like- that seems like some pretty basic stuff, right? Do you want this mostly unhelpful feedback, or my business?",Website Performance/Page Design
Very Satisfied,Easy to navigate,Thanks/Praise
Very Satisfied,It was really simple.,Thanks/Praise
Neutral,Kinda tricky to navigate,Website Performance/Page Design
Very Disappointed,This survey came and seemed to interrupt paying. Not sure if it will work.,Website Performance/Page Design
Neutral,"Trying to edit the parent letter to send to parents to explain what scholastic was for, but I couldn't find the letter to edit.",Website Performance/Page Design
Very Satisfied,I am so excited to see YA books on the website finally!!!,Thanks/Praise
Very Satisfied,I would like an option for all books and titles to be displayed on one page to make it easier to pick recommendations.,Website Performance/Page Design
Satisfied,Just started and you’ve sent me the survey.,Website Performance/Page Design
Neutral,"It is very hard to browse content, find deals and the age appropriate books. Also, there are no descriptions, reviews or ratings for books, which is making it very hard to decide before making purchases.",Website Performance/Page Design
Disappointed,Families who send money in instead of ordering online should be given info on shipment fees and taxes. You are putting a burden on teachers by not informing the families that taxes and shipping are not included when they bring money to school for the teacher to purchase the books.,All Other
Satisfied,There should be a big button on scholastic.com to take you to the proper site to order for a classroom.,Website Performance/Page Design
Very Satisfied,Love the prices and quality with Scholastic!,Thanks/Praise
Very Satisfied,Love Scholastic!,Thanks/Praise
Neutral,Couldn’t find my child’s teacher.,All Other
Neutral,Thank you for fixing the balance issues from last year.  I did not submit any new orders because of the that issue and would not be ordering this year if it continued to be a problem.,Thanks/Praise
Satisfied,Easy sign in.,Thanks/Praise
Neutral,Web site does not work well with iPad,Website Performance/Page Design
Disappointed,Finding where to connect with my child’s teacher was impossible. Had to try 3 time!,All Other
Very Satisfied,Very easy and efficient!,Thanks/Praise
Neutral,Teachers code is not showing yet.,All Other
Very Satisfied,No problems,Thanks/Praise
Satisfied,Easily understood and explained!,Thanks/Praise
Satisfied,It seems to be easier this year to submit bonus teacher picks. Too many steps before.  Teachers should not have to pay shipping for orders under $25. You are making enough money to cover this.  Media mail is much less expensive.,All Other
Neutral,"I cant have an opinion on satisfaction because  I am just exploring the site, I hope it continues like know.  Very easy to follow steps, we really don't have a lot of time to plan or the classes.   I do have a situation and is in the zip code and address, My school was not listed in the list and automatically game another address.",Website Performance/Page Design
Neutral,"I'm sure you can add a bigger variety of books.   We do not like princess or creepy books and we enjoy ""I survive ""books for example, just saying.",All Other
Very Satisfied,Love This Website,Thanks/Praise
Neutral,"I started my order on Wednesday but realized I didn't have the classroom teacher code so I left the site and came back the day after with code on hand.  For Thursday (just 1 day after the day before), there were 2 different items that had been available and in my cart the day previous (single books- Heartstopper, Vol 3 and a Molly Melon Book) but when I went to search for them again to add to my cart- there was no item found.  I did find them in a series bundle purchase.  But I didn't want to buy the bundle because I already had many items within that bundle.  So I was a bit frustrated that I couldn't buy the single book when the day before, the single book was available and in my cart ready for purchase.  It felt like a ""marketing scam"" to me and we've had such positive experience with Scholastic previous and never had this issue.  So I thought I'd share that.  All other items were available and check out and the process were simple and great!",All Other
Neutral,Flow could be designed better... actually getting to the teacher was different from what the instructions provided by the teacher were.,All Other
Very Satisfied,I really thought there was some great books offered in the flyers,Thanks/Praise
Very Satisfied,Unsure to list all email contacts because I'm not sure all families want to give out their personal emails.,All Other
Satisfied,Didn't realize book club was a different site,Website Performance/Page Design
Satisfied,"Technically haven't ordered yet, but working on that right now.",Website Performance/Page Design
Very Satisfied,Ive been buying books ince my kids were in school. Now getting them fot great grandchildren.,Thanks/Praise
Neutral,The book selection was hard to access.,Website Performance/Page Design
Very Satisfied,Needed to update my e-mail address,All Other
Very Satisfied,Super east to navigate!,Thanks/Praise
Satisfied,Will flyers be sent for me to send home with my students?  Just unsure if that's still done.,All Other
Very Satisfied,Love this service!  Thank you!,Thanks/Praise
Disappointed,"I am trying to submit my order, but the log in page is coming up blank. Also, I received an email that I would receive 500 bonus points on my birthday which was 8/16, and I haven't yet. I chatted with someone and they told me to keep my eye out for an email and I haven't received that yet.",Website Performance/Page Design
Very Satisfied,Straightforward ordering process.,Thanks/Praise
Neutral,Many of the books I'm looking to buy aren't available through Scholastics. I was hoping to give credit to a local school with book purchases.,All Other
Neutral,The site didn't make it easy to enter the school's code. I had to find a new link from the school.,All Other
Neutral,I have using the Scholastic Book Club for over 20 plus years. My frustration these past years has been: I do not get the catalogs in enough time to place my orders. Sometimes they don’t come at all and I have to call to have them sent. The reason parents aren’t ordering books is because they get the flier past the holiday they should order from. The books are late coming to parents so they don’t want to order. Please help me make this successful to use.,All Other
Neutral,This survey interrupted my order,Website Performance/Page Design
Neutral,I wish that it was easier to make a purchase as a parent and not just a teacher,All Other
Satisfied,"It was confusing at first and I didn’t realize I needed to sign in under book clubs to access my son’s classroom order. I was shopping under the parent section and then when I realized I should be under book clubs, I created a whole new order.",Website Performance/Page Design
Very Satisfied,Had to take  This survey wouldn’t let me complete the order,Website Performance/Page Design
Very Satisfied,Couldn't locate where to combine checks and credit card orders.  Called and spoke with service representative and completed my order.,All Other
Neutral,Trying to buy books from my friends kids,Website Performance/Page Design
Very Satisfied,I would like to see more $1.00 books.,All Other
Neutral,Love the books that scholastic provides even when I was a kid,Thanks/Praise
Neutral,"The site was not very easy to navigate on a cell phone. A pop up asking me for my feedback kept blocking my view, and what could have taken 2 mins took a good 6-8 minutes to place an order.",Website Performance/Page Design
Satisfied,Site is not compatible with Safari browser and always have to change to chrome,Website Performance/Page Design
Very Satisfied,ok,Thanks/Praise
Neutral,"Just waiting to hear back from my son's teacher before placing my order. The site was easy to use. One thing I noticed is the book descriptions do not state if the book is in both English and Spanish. I was looking for books that had both and had to do a little digging to find some, more and inconvenience then difficult.",All Other
Satisfied,coupon cope provided did not work,All Other
Very Satisfied,I love Scholastic!,Thanks/Praise
Neutral,"I clicked a link to look for child's teacher, but the form didn't work. I eventually found it through another link, but it took some time and frustration.",All Other
Neutral,"I am still upset about a mistake for an order.  The address of delivery was supposed to be changed to be delivered to the school, but the representative only changed the billing address so I was not able to get a reimbursement from my school as it was sent to my address and not the school.",All Other
Neutral,I would like to purchase books and have them sent to my home address.  I have tried c connecting to my son's school teacher but she is uninterested in participating in the Scholastic Book Club.  Is there any way for me to purchase books and have them sent to my home.  I previously did this during summer.,All Other
Satisfied,Nice site,Thanks/Praise
Satisfied,Wish we could see more of the potential book to buy.,Website Performance/Page Design
Satisfied,You should make it easier to apply the $10 teacher coupon.  It should automatically be applied to order or a code should be on it so that it can be applied.  I have not be able to add it on one of my orders.,All Other
Very Satisfied,"Each year it takes me a little time to get back into how to use the site to set up my classroom orders etc,, but then it is easy and works well.",Thanks/Praise
Very Satisfied,Easy to navigate and edit wishlists.,Thanks/Praise
Satisfied,Would love personal home delivery back. I would pay shipping to have that as an option. It makes it easier as I buy a lot of items which is hard to children to have to transport home.,All Other
Very Satisfied,I will purchase just need to verify which books my child wants.  Came today to connect child to new teacher.,All Other
Very Satisfied,Very easy set up for homeschool account creation,Thanks/Praise
Satisfied,Love the selection.  Love all the different ways to find the right book for my child.  Love the free book promo and that I can leave a donation.,Thanks/Praise
Very Satisfied,Love Scholastic!  Great prices on good books.,Thanks/Praise
Satisfied,It was easy,Thanks/Praise
Neutral,It would be easier to see all the books. It’s just not easy to navigate the sight.  Suggested books popped up that I wanted to go back to but could not find them again.  I did like having the option of ordering online but navigation and layout needs improvement.,Website Performance/Page Design
Very Satisfied,Love the search options... Helps find books to fit each child,Thanks/Praise
Neutral,"I am sending out a welcome to Scholastic letter to families and when I went to print the letter from the website the footer isn't printing.  I've tried multiple ways to get it to print, but it won't.  I really like the header of ""Our class loves to read"" and the footer ""Scholastic Reading Club."" It makes it feel more official and helps it to stand out.",Website Performance/Page Design
Neutral,I tried to print a letter as a cover sheet for my book orders (it's the first time we're ordering this year) and the website told me it was a bad request.,Website Performance/Page Design
Very Satisfied,Adding the free book got glitchy with scrolling (on an iphone). I do like that when you search for a book to add you can tap it and get a small preview. I also think the previews of books are detailed which is nice.,Website Performance/Page Design
Neutral,Easy to navigate - thank you!,Thanks/Praise
Satisfied,"I had a little difficulty connecting to my granddaughter's new teacher, but I finally figured it out with help from FAQ.",All Other
Very Satisfied,"I really believe that you should allow retired teachers to maintain their account.  I buy books for my Little Free Library,  because I want kids to have NEW books.  The hassle of finding a teacher to order under seems wrong after the thousands of dollars of books that were ordered by me over 39 years of teaching Kindergarten.    What would be the harm in letting me maintain my account?",All Other
Neutral,it will not let me set up an ewallet for my child,All Other
Satisfied,Have not received fall book order forms for families yet.  Would like to get those.,All Other
Satisfied,Navigating by reading level and interest was a bit tricky,Website Performance/Page Design
Very Satisfied,I hope all delivery problems have been resolved. I know you had a rough year last year. May 22/23 year be better for all of us!,All Other
Neutral,The page signs out quicky.,Website Performance/Page Design
Neutral, The selection is limited,All Other
Neutral,Once code is entered where do you go,Website Performance/Page Design
Neutral,Trying to find books in Spanish and having a hard time,Website Performance/Page Design
Very Satisfied,"For payment, the site was not accepting my pin for a new card.",All Other
Satisfied,I couldn't finish browsing because this popped up therfore taking time that I could be looking for books.,Website Performance/Page Design
Very Satisfied,Was fast and easy to set up,Thanks/Praise
Very Satisfied,"Seriously appreciate the pricing on books! Great selections, so excited!",Thanks/Praise
Satisfied,Navigation seems to be a bit tricky/ confusing....,Website Performance/Page Design
Very Satisfied,All went smoothly,Thanks/Praise
Satisfied,I had to try a few times to get the free READS books by item number,All Other
Very Satisfied,Very easy to use,Thanks/Praise
Very Satisfied,Easy to do,Thanks/Praise
Very Satisfied,I got the flyer in my classroom today and just thought I would browse the website for a minute,All Other
Very Disappointed,"For some reason my account is showing another teacher's name and I have no idea why. We have never gone onto scholastic on each other's computers, so it does not make any sense.",Website Performance/Page Design
Satisfied,"Loves Scholastic  and love that they provide great customer service. My only two suggestions would be to carry more books… Often times I will type in titles of popular books that I use for a mentor texts in my elementary classroom, but Scholastic doesn’t carry them. Also, I would like to see all of the bonus point items also labeled with monetary value… So I could buy them if needed",All Other
Very Satisfied,"SO HAPPY you’re now recognizing HOMESCHOOL families for classroom points, perks, discounts, group orders, etc!!  HOORAY!!  We run a co-op for about 50 kids and have wanted to include Scholastic in our classrooms for ages!!  Thank you thank you!!",Thanks/Praise
Very Satisfied,It was super easy to set up our account & navigate the website.,Thanks/Praise
Satisfied,I notice prices have increased.,All Other
Disappointed,"I had to sign up multiple times and the log in isn't taking the one I keep signing up as, so I haven't been able to place my order yet.",Website Performance/Page Design
Very Satisfied,So easy,Thanks/Praise
Very Satisfied,Great experience purchasing books for my child.  I loved the fact that there were books in Spanish and English.   We selected books in both languages.,Thanks/Praise
Disappointed,The promo code READS is saying it’s expired.  It is advertised on the book club at the top to get a free book with that promo code but it doesn’t apply.,All Other
Very Satisfied,I didn’t have a chance to browse before this survey popped up.,Website Performance/Page Design
Neutral,It was hard to go back after looking at details of a book. Had to search again.,Website Performance/Page Design
Disappointed,I always have trouble on this site. Not sure why??,Website Performance/Page Design
Disappointed,Kept sending me back asking for my info and the teacher. I put this in more than 3 times,Website Performance/Page Design
Very Satisfied,Love it,Thanks/Praise
Satisfied,"I had just arrived to the website and was asked to take survey, so I haven't gotten a chance to take a look around or make any purchases yet.",Website Performance/Page Design
Satisfied,"The site is confusing! I logged on and my cart was empty, and I had to search and click through things to try and find the books I had, and where they were in my cart. (Confusing sounding right?!) I love the books and order often, but the site is very confusing! I also love how you discount different popular books monthly.",Website Performance/Page Design
Neutral,This was my first order and it was confusing finding how to add my child's teacher code.,All Other
Neutral,"I LOVED the Scholastic Book Club as a kid, and I'm OVER THE MOON that I now get to share this with my son!!!  Book Fair day was THE BEST DAY when I was in school!  You guys do great things!  Keep it up!!!",Thanks/Praise
Satisfied,It would be nice to shop by the AR levels,Website Performance/Page Design
Very Satisfied,I will cont to use scholasic,Thanks/Praise
Neutral,Navigating from smart phone was frustrating,Website Performance/Page Design
Disappointed,Once you asked about this survey your site crashed and took me directly to here,Website Performance/Page Design
Satisfied,"I’m looking for chapter books or novels with content that is appropriate for a 6yr old. When I search your site, I can only search based on her age (6) or grade (1), but not her AR level (or equivalent).",Website Performance/Page Design
Very Satisfied,I love that I can buy books for 2 different children/classrooms in one purchase.  It made it very easy.,Thanks/Praise
Satisfied,"I was not able to complete my order on mobile using PayPal. I had to go to my desktop to complete the transaction. Otherwise, the site was very easy to use.",Website Performance/Page Design
Very Satisfied,Can you please sell some Christian Author books too?  Wendy Mattox is a great children's author for Christian Books.  Look her up.,All Other
Very Satisfied,I registered and set up information for my class to order books,Thanks/Praise
Very Satisfied,No issues,Thanks/Praise
Very Satisfied,I won't pay shipping for a $2 book.  I think you should combine orders from our school so that shipping would be free. I'll return the money to the one student that ordered and tell her  why.,All Other
Neutral,"The cart was hard to find. When I was ready to check out, I had to put a book in the cart to get to the cart. I couldn’t find the icon for the cart until I did that.",Website Performance/Page Design
Satisfied,"The site gets you in with a free book gig, then it don’t give you which books are free.",All Other
Very Satisfied,It would be nice to add to order or edit the order until the order goes to the teacher or at least for a period of time after submitted.,All Other
Neutral,I want to start ordering again but I'm worried there will be shipping delays like the last two years.,All Other
Neutral,I am trying to log in as a teacher and I am not able to find my site. I keep getting dumped into the parent site. I am nothing but frustrated with this.,Website Performance/Page Design
Neutral,"Survey came up before checkout so I haven’t ordered yet, and when trying to buy a book for the class, it asked me to sign in 3 times…",Website Performance/Page Design
Very Satisfied,"nothing to do with the site. It would be helpful if you offered a stamp that can be used to put the class codes on the fliers that fits in your boxes.. I do the fliers for the whole school, 150 kids.",All Other
Very Satisfied,Super easy to navigate,Thanks/Praise
Satisfied,Wasn’t done browsing when survey pop up!,Website Performance/Page Design
Very Satisfied,I helped Michele Trevizo set up a class but she never received her class number.,All Other
Satisfied,"I would love to share a link to my child's wish list for birthdays, rewards, and holiday gifts from our loved ones. Please find a way to enable that feature! We have just asked relatives to give Scholastic gift cards instead.",All Other
Very Satisfied,Very awesome very helpful,Thanks/Praise
Very Satisfied,Website is very user friendly!,Thanks/Praise
Very Satisfied,need to change my granddaughters teacher and can't figure it out,All Other
Very Satisfied,Adding a child,All Other
Very Satisfied,The promo code option is not mobile friendly for check out.,Website Performance/Page Design
Very Satisfied,Very easy,Thanks/Praise
Very Disappointed,I couldn't check out without assigning a teacher to the child and the child is being homeschooled.,All Other
Satisfied,Make it smart phone friendly. It seems it is made for desktop,Website Performance/Page Design
Very Satisfied,"Easy to use website, and made searching for books fun for parents and kids!",Thanks/Praise
Neutral,I'm still browsing so I haven't ordered. That's the only reason.,Website Performance/Page Design
Satisfied,Ryder is now in 3rd grade and Mrs lion is his teacher,All Other
Neutral,"Makes it tough for returning grandparent supporters to know how to connect account to this year's teacher.   Also the site is not user friendly in that.i have to keep backspacing to get where I want to go. Also perhaps if you put a colon between ""contact:teacher"" it.would be understood by parent that books get sent to School.",All Other
Disappointed,This survey popped up as soon as I got to the site. Asked if I would complete a survey AFTER I ordered. I clicked yes and the survey popped up.,Website Performance/Page Design
Satisfied,This went very smoothly,Thanks/Praise
Very Satisfied,Easy to change password,Thanks/Praise
Satisfied,Had trouble finding the location to order book club forms to get them sent to your school.,All Other
Satisfied,"It would be helpful to have a button to request magazines on the profile site.    Also, I recommended a new teacher but wasn't able to apply my bonus.",All Other
Neutral,The webpage wouldn’t scroll down far enough to press the button and then this survey interrupted my order.,Website Performance/Page Design
Neutral,Entered profile info incorrect and unable to change,All Other
Very Satisfied,"I haven't used your site in over a year, glad to be back!",Thanks/Praise
Neutral,Site not easy to navigate,Website Performance/Page Design
Disappointed,I have never received our book order from last March or April and now nothing shows up under my orders.,All Other
Satisfied,I would have liked to narrow classic books by age.,Website Performance/Page Design
Very Satisfied,Great website,Thanks/Praise
Very Satisfied,Enjoyable experience and glad to get to order books for our grandkids!,Thanks/Praise
Very Satisfied,Can a parent join a book club?  What are the prices?,All Other
Very Disappointed,Trying to switch account to teacher account for myself,Website Performance/Page Design
Very Satisfied,Easy to use.,Thanks/Praise
Very Satisfied,Thank you,Thanks/Praise
Satisfied,looking for my class code,All Other
Satisfied,I noticed that books prices have increased by $2-$3/book.  That will mean that i will be purchasing less books for my son this school year.  Do  you expect the increases to remain all year?,All Other
Neutral,"I'd like better search options. My children read at a higher level than what is given for their grades, and my son in particular likes nonfiction in niche topics. I don't have an easy way to keyword search for topics.",Website Performance/Page Design
Neutral,I couldn't find where to connect my account to the teacher.,All Other
Very Disappointed,i dt like hel kell,All Other
Very Satisfied,I typed in students name and the add button did not turn blue.,Website Performance/Page Design
Satisfied,When i tried to use the 5$ free book code I was able to select one but wasn’t able to do anything past that the whole  Website froze on multiple occasions,Website Performance/Page Design
Very Satisfied,Easy,Thanks/Praise
Very Satisfied,"I didn't order any books last year.  That was a first for me.  I have been ordering books from Scholastic for over 25 years, best guess.",Thanks/Praise
Very Satisfied,I love the ability to browse digitally.,Thanks/Praise
Very Satisfied,I talked to a superhelpful person on the phone because I lost my Free Points number for updating my class numbers last year. She spent a lot of time going through and finding that code for me. She also helped me realize I wasn't getting my Birthday points because I didn't have my birthday in my profile.,Thanks/Praise
Satisfied,"I donated $6 to the book trust when I only wanted to donate $1. Nothing pops up when you click the ""Donate"" key to tell you it's done so I kept clicking it then realized at checkout I had donated more than I wanted but could not figure out how to delete it.",Website Performance/Page Design
Very Satisfied,The site looks new and updated this year. It just took me a few extra minutes and tries to see where I was and how to get to the book club page. It will be fine once I get used to it!,Thanks/Praise
Very Satisfied,I hope shipping is quick this year.  Last year at this time it took months! :),All Other
Very Satisfied,Everything was very easy to navigate on the site.,Thanks/Praise
Satisfied,"I used the chat feature and the rep answered my questions however she didn't even ask if I needed anything else..just gave me the address and ""hung up"".",All Other
Neutral,I only spent $11 today. I would have ordered $25+ if I could get free shipping and have the order count for my son's classroom. Disappointed that this is no longer an option.,All Other
Very Satisfied,"It was very easy to update my child's classroom code for the beginning of this school year, thank you.",Thanks/Praise
Very Disappointed,"This website is so difficult to use as a teacher. Finding our ""teacher's desk"" and other class status is impossible, even while using the live chat.",Website Performance/Page Design
Neutral,I can’t find my class code. ,All Other
Neutral,"Not super user friendly. Or simple, printable directions for parents.",Website Performance/Page Design
Neutral,I would love to see more diverse books.,All Other
Satisfied,"I wish there were tabs for age groups or for learning to read type books so they're easier to find but other than that, it's pretty easy to find what you need",Website Performance/Page Design
Neutral,I was not able to find the books I needed for my curriculum,All Other
Very Satisfied,Very easy to use. Will be submitting my first order for this new school year soon!,Thanks/Praise
Satisfied,Trouble with password,All Other
Neutral,"Last year was a mess with accounting, invoicing, and delivery.  I am giving another shot this year.",All Other
Satisfied,Thanks for all that you do! I look forward to sharing the book order information with my class beginning next month!    Will you be sending out the paper flyers this year? We have not received any yet.,All Other
Satisfied,"As an educator I request more $1 selections. If i can get a class sponsor but the Judy book of the week for a dollar is not on my class level, I'm stuck. A variety of titles at this price point is NEEDED.",All Other
Very Satisfied,The survey interrupted me trying to check out but it's okay!,Website Performance/Page Design
Neutral,"I want the books sent to my home address, but didn’t see that option. ",All Other
Neutral, Last year the book orders were very slow. Hoping this is a better year.,All Other
Satisfied,"Easy to use site, would like to have free shipping though",All Other
Disappointed,I'm trying to find the reading level and DRA numbers for books for our Library and the oddest thing I've found was I cannot find them for some of the books that were printed by Scholastic.,All Other
Disappointed,"Too many steps to get through to find  a simple book.  Pop up screens asking for info, I do not need to always set up an online format.  Sometimes people just want to look!  UGH.",Website Performance/Page Design
Satisfied,Would love to have $1 books back regardless of class order.,All Other
Very Satisfied,Love it!,Thanks/Praise
Neutral,unable to find a way to get paper fliers sent to my school to give to my families...,All Other
Neutral,"Couldn't find the boxcar children books.  Not the new creations, the original ones starting with a publishing date around 1947.",All Other
Disappointed,I wish I could get paper copies of flyers at least for the first few orders.,All Other
Very Satisfied,YOUR WEB SITE U/I KICS ASS!  So very easy.  Well done.  Did my kids order from the flyer in 3 minutes including new account setup.  VERY GOOD.,Thanks/Praise
Satisfied,My class sizes have increased and I was looking for the area to give a new number of students.,All Other
Very Satisfied,Looking for my class code so I can add it to the forms.,All Other
Satisfied,For the past few years -every so often I can't login.  When you click on sign in a white box will appear but there is no information or way to login.  This has happened on different computers and wifi connections.,Website Performance/Page Design
Satisfied,I am still working on my task.,Website Performance/Page Design
Very Satisfied,I think Scholastic Books are Fantastic.  I read and ordered them when I was a little girl and it is good to see the quality hasn't changes.  Kudos to you guys! Keep this company going the children need it!!,Thanks/Praise
Very Satisfied,Easy!,Thanks/Praise
Very Satisfied,"Thank you for making your site easy to navigate for tech-challenged grandparents like me.  I love books and am happy to be able to share them with my grandkids.  I am happy to see Scholastic Books are still available.  My children loved their book orders when they were in school.  Of course, they were paper back then😊",Thanks/Praise
Very Satisfied,I’ll be back to place an order,All Other
Satisfied,Not able to order flyers,All Other
Very Satisfied,No problems or complaints at all.,Thanks/Praise
Satisfied,Scholastic will always be a part of the classroom.. I'm glad ordering online was so easy.,Thanks/Praise
