WeekOf,OverallRating,Comments,FeedbackCategory
9/1/2022,Neutral,"I was supposed to get the fly guy book for free with the READS code, but I was charged $4 for this book.",Bonus Points/Rewards/Promos
9/1/2022,Disappointed,"When viewing a flyer, i pinch to zoom in works ok.... But when i try to zoom back outthe stupid page either reloads or kicks me back to the 'choose a flyer by grade' page!! After multiple attempts i give up",Website Performance/Navigation
9/1/2022,Very Satisfied,Always very happy and satisified with the books and the help I receive when I need it.,Thanks/Praise
9/1/2022,Neutral,Still looking for where to request flyers to be sent to me.,Kits
9/1/2022,Neutral,Finding the place to update teachers class code was a bit harder than it could have been,Connecting Teacher/Class Code
9/1/2022,Satisfied,I haven't received any flyers since moving to my new school. Would love to receive paper flyers again .,Kits
9/1/2022,Very Satisfied,I never received any catalogs like I normally do so I came in the site to request them.,Kits
9/1/2022,Very Satisfied,Very easy to order with codes from flyer,Thanks/Praise
9/1/2022,Very Satisfied,Finding how to connect the teacher once the teacher/school changed.,Connecting Teacher/Class Code
9/1/2022,Neutral,add apple pay,Account Balance/Payment
9/1/2022,Very Satisfied,Good experience,Thanks/Praise
9/1/2022,Very Satisfied,WONDERFUL SELECTIONS.,Thanks/Praise
9/1/2022,Neutral,I found it hard as the teacher to order my free items as I was trying to finish up the on-line order. I love the great deals on good books available in your orders. I am discouraged that 2 of the books I ordered have a different reading level on the back of them than what the book order form showed. I am also discouraged that most of the books in the 2nd grade order form were level K-Q. At the beginning of the year many students are around level H-J.,Bonus Points/Rewards/Promos
9/1/2022,Satisfied,"I'm looking forward to using scholastic again.  Last year, I stopped after it was taking so long to receive the books.  It looks like it will be better this year!",Hopeful Shipping Improves this Year
9/1/2022,Satisfied,Viewing the online flyers was not easy to manipulate.  I had difficulty looking at the flyers and going from page to page.,Website Performance/Navigation
9/1/2022,Satisfied,"As a teacher, I had trouble linking to my account.  When I clicked the link on the email you sent with a student's order, it took me to an empty cart.  After three tries, I finally just logged in without the link, reset my account, and I was finally able to reach my current order.  I had to waste about 10 minutes with this process.",Connecting Teacher/Class Code
9/1/2022,Very Disappointed,It won’t take my payment. It says declined when I have the funds.,Account Balance/Payment
9/1/2022,Very Satisfied,I love Scholastic Book Clubs. It makes getting good books in my student's hands so easy and affordable! I understand there was major shipping delay during COVID but I assume and hope it's much faster now!,Hopeful Shipping Improves this Year
9/1/2022,Neutral,"Drives me crazy when I cannot purchase an individual book, it only comes in a pack. My daughter had already read the first book and only wanted the sequel.",Products Offered/Availability
9/1/2022,Satisfied,Asked me to do the survey before I was able to do anything else,Interrupted by Survey Pop-up
9/1/2022,Satisfied,Mobile version is a little wonky but I was able to do what I need- is there an app?,Website Mobile Compatibility
9/1/2022,Very Satisfied,"I was first at the Scholastic site and was very confused, as I tried to enter an item # and it wasn’t accepted for search. It wasn’t until I googled Scholastic book order that I found the right site. Maybe I missed it, but it would be helpful to have a button at the top of the other site directing to the Book Club site. (Once I found it, excellent experience!)",Website Performance/Navigation
9/1/2022,Satisfied,I wasn't able to navigate to the appropriate page from the home page.,Website Performance/Navigation
9/1/2022,Satisfied,I would like to be able to purchase sequel books not in sets.,Products Offered/Availability
9/1/2022,Neutral,This site needs to be easier to navigate.  I would like to type in an item number on the first page and see the item come up.  Also classroom flyers should be listed on the first page so we can find books easier.,Website Filter/Search Options
9/1/2022,Disappointed,"Never found how to get a free book after spending $140. As a new user, it was really hard to figure out since  I am the Grandma and do all the extras for my granddaughter and am not tech savvy but want to order on line.  Took me forever to get the job done.",Bonus Points/Rewards/Promos
9/1/2022,Neutral,Very easy to navigate.  Love the put in the ITEM # feature. Easy and quick!,Thanks/Praise
9/1/2022,Neutral,My son loved the choices,Thanks/Praise
9/1/2022,Very Satisfied,Great suggestions based on grade level!  Helpful for choosing books for my child.,Thanks/Praise
9/1/2022,Disappointed,I just want to look at flyer and by books,Website Filter/Search Options
9/1/2022,Satisfied,I could not type in item number on opening page.,Website Filter/Search Options
9/1/2022,Neutral,Would like to be able to sort by grade level AND language,Website Filter/Search Options
9/1/2022,Very Satisfied,Easy signup,Thanks/Praise
9/1/2022,Very Satisfied,I haven't made out my order yet.,Interrupted by Survey Pop-up
9/1/2022,Neutral,"I could not log into my account.  When I would click log in a blank white box would pop up, but there would be no place to sign in.",Website Performance/Navigation
9/1/2022,Disappointed,Trying to find First grade appropriate books in terms of low price $1. I'm not sure that Pout Pout The Fish is a good option for my second language learners.,Price
9/1/2022,Disappointed,Changed preschool and having significant difficulty entering new one time only class activation code.  New code MJL24,Connecting Teacher/Class Code
9/1/2022,Very Satisfied,Easy peasy!  Lemon squeezy!,Thanks/Praise
9/1/2022,Neutral,"I would like to see ALL of the $5 and under books, not just a select few.",Website Filter/Search Options
9/1/2022,Very Disappointed,Link broken,Website Performance/Navigation
9/1/2022,Neutral,Why can’t you search for books across all grade levels at once,Website Filter/Search Options
9/1/2022,Neutral,I noticed that 10 for $10 is no longer available. For the past 2-3 years I would purchase monthly books for my students to help build their home libraries.,Price
9/1/2022,Very Satisfied,My first experience with Scholastic's site was fine with no issues.,Thanks/Praise
9/1/2022,Neutral,Hard to find out where to find my class,Connecting Teacher/Class Code
9/1/2022,Very Satisfied,This was the first time a parent gave a check and I was worried. You made it very simple to add the books to the order and list that I would be mailing the check in. Thank you for making the process quick and easy for teachers!,Thanks/Praise
9/1/2022,Very Satisfied,Was a breeze! Thanks 🙏🏽,Thanks/Praise
9/1/2022,Neutral,"When I got into the site, I didn't immediate see a way to browse books by category. It took me a while to figure out how to see Nonfiction books for my son's grade level, for example. I also kind of wanted recommendations -- can I see all award-winners? Classice? What does the teacher think would be great at different levels?. And when I found the ""book finder"" I was disappointed that it was mostly topical  ... it wasn't until I got to the suggested topics/books that i could pick nonfiction and grade, etc. This functioned more like a search filter -- that wasn't very complex or thorough.    I wanted to know if some of the series (Fly Guy, Bad Guys) sold the single book my kid needed and not just the packs. I saw other single books in the series, but why couldn't I order any of the series?    I also have no idea, really, what my kid's reading level is. I know it was on his last report card, but ... It'd be really cool if that was known / entered by the teacher and then I could target th",Website Filter/Search Options
9/1/2022,Satisfied,"I had great success submitting my order as a parent.  HOWEVER, I am not currently teaching in the classroom.  I tried and tried to update this, but it would not allow me to update.  I am afraid that you will start sending me mail to my daughters' school!  PLEASE don't!!",Connecting Teacher/Class Code
9/1/2022,Very Satisfied,Very easy to order the books that I wanted.,Thanks/Praise
9/1/2022,Satisfied,My internet was slow and took forever loading images.,Website Performance/Navigation
9/1/2022,Very Satisfied,Like how I could shop the flyer,Thanks/Praise
9/1/2022,Satisfied,👍👍👍🧡🧡🧡,Thanks/Praise
9/1/2022,Disappointed,Well I finally just got in and it asked if I would be willing to do a survey when I was finished.  I just got started.  Now I m stuck in this survey after it took me forever to change my password.,Interrupted by Survey Pop-up
9/1/2022,Satisfied,I Would love to see more classic stories books offered in your monthly  catalogs.  Thanks,Products Offered/Availability
9/1/2022,Satisfied,I like how easy it is to add books to the order. This is my first time using a combination order so hopefully I can report back later with any feedback.,Thanks/Praise
9/1/2022,Very Satisfied,Upon closing the order and paying for the materials I ordered I was unable to use the $10 extra with the order but I was able to use the bonus points I earned.,Bonus Points/Rewards/Promos
9/1/2022,Neutral,"It tells me I'm eligible for $10 Free in books as a teacher for my student orders, but then it shows I owe $.",Bonus Points/Rewards/Promos
9/1/2022,Satisfied,cancelling the paper mail.,Kits
9/1/2022,Disappointed,"Code ""READS"" is on flyers and advertised on site, but says expired when tried to use.",Bonus Points/Rewards/Promos
9/1/2022,Very Disappointed,I cannot create an account-it keeps saying I have created one but then doesn’t recognize my email when I try to sign in.,Website Performance/Navigation
9/1/2022,Neutral,I often have trouble selecting a due date - i often do.  It would be very nice to have a box to type the date in directly.,Website Performance/Navigation
9/1/2022,Very Satisfied,Really easy to use. Faster than filling out the book order form!,Thanks/Praise
9/1/2022,Very Satisfied,"Site was very easy to navigate, and having the flyer from school made it easy to get all of the books we wanted to get with one simple search.",Thanks/Praise
9/1/2022,Neutral,Im still looking.,All Other
9/1/2022,Neutral,I find this site difficult to use.,Website Performance/Navigation
9/1/2022,Neutral,Disappointed that I can't buy individual books (like Biscuit Finds a Teddy Bear).  I will have to buy it elsewhere.  Don't want the other books in the pack.,Products Offered/Availability
9/1/2022,Satisfied,Open up to pay with debit cards for books.,Account Balance/Payment
9/1/2022,Neutral,"The $5 free book promo is great, except only a few book qualify. With the increase in your overall prices, it would be nice that this goes up to some to at least $6 but maybe even $10.",Price
9/1/2022,Disappointed,"I use chrome and safari to get to scholastic's web site.  Sometimes it opens, usually I get a white box when I click ""sign in"" and it doesn't open.  I viewed my cart and do not see a button to click to submit the student's online orders - very frustrating!!!  It used to be easier to navigate.",Website Performance/Navigation
9/1/2022,Satisfied,Hard to navigate and see full page on phone.,Website Mobile Compatibility
9/1/2022,Neutral,We like to build a wish list when we get our classroom flyer and then decide on final purchases later.,Intend to Order in Future
9/1/2022,Very Satisfied,"Ran out of time, but will be back.",Intend to Order in Future
9/1/2022,Very Disappointed,"your flyer application is very buggy, not intuitive.  you have make an account to place an order.",Website Performance/Navigation
9/1/2022,Neutral,"I used to love Scholastic books and spent many $$$'s on your books at book fairs, on your site, and through classroom book orders.  But my youngest is now a HS senior, and I have noticed that nearly all of your books for his age level are dark and depressing, almost no light-hearted reading.  Kids are already anxious and depressed about the world as it is, and you are just adding to that. And worst yet is that you now are peddling LGBTQetc books to young kids.  So, this is good-bye from me, no more Scholastic purchases from me. And I have already been  telling my concerns about Scholastic to other parents and educators too.",Products Offered/Availability
9/1/2022,Very Satisfied,Very user friendly especially for the free book with code,Thanks/Praise
9/1/2022,Satisfied,"I thought I had bonus points/dollars in my account but I do not see any.  I tried to look at my history, but it does not show anything.  It has been a while since I used it so maybe I lost them due to inactivity or something.",Bonus Points/Rewards/Promos
9/1/2022,Neutral,Everything is pretty smooth and easy for a parent to order.,Thanks/Praise
9/1/2022,Very Satisfied,Thank you for your products.,Thanks/Praise
9/1/2022,Satisfied,"Searched for title offered but it came up no items found.  Also tried to submit a new teacher's email and got a message saying I couldn't (I'm hopeful that she has already been invited).    I'm annoyed by the term ""inflation buster"" in the teacher marketing.  These were not specific to inflation, but similar to the back to school offers I have seen for the past 25 years.",Website Filter/Search Options
9/1/2022,Very Satisfied,"Purchased something from the bonus catalog .  Got an email asking me to review, but I have not received anything yet.  And in my orders it says that is in progress but can't not track or see the the order.",Delayed Shipping/Delivery
9/1/2022,Neutral,Site has gotten easier to navigate on mobile device. Thank you!,Thanks/Praise
9/1/2022,Neutral,Missed two sets book before.,Delayed Shipping/Delivery
9/1/2022,Disappointed,I made an order in the 2021-2022 school year I was informed the item would be delayed I used my bonus points and it still was never delivered I would like the item table and chairs or my bonus points back please!,Delayed Shipping/Delivery
9/1/2022,Neutral,"It’s ok, but was difficult to navigate on iPhone, screen moves around too much., not right sizing. Don’t really use actual computer much. Do most stuff through phone.",Website Mobile Compatibility
9/1/2022,Very Satisfied,My school has not received any catalogs. I want to receive them monthly.,Kits
9/1/2022,Neutral,"hard to find this website with web search, got to general scholastic website, but to find this was a challenge",Website Performance/Navigation
9/1/2022,Satisfied,This was the first time I am putting in an order.  To be able to use the reward points to get free books for my classroom was very confusing.  I thought I was able to order the dollar books and use my $10 rewards but it did not work.,Bonus Points/Rewards/Promos
9/1/2022,Satisfied,Trying to update my child's teacher code for this school year's orders.,Connecting Teacher/Class Code
9/1/2022,Satisfied,"I've ordered for years but I never remember to mention this.  I wish the search engine worked better.  Sometimes I""m looking for books about a specific topic but the search engine is not capable of doing that.  That is so frustrating.  For instance, today I was looking for books the hospital staff could read when they come to visit the school.  I couldn't find any so I ended up ordering on Amazon.",Website Filter/Search Options
9/1/2022,Satisfied,"I was looking for my bonus points for referring a teacher, I haven't seen anything added this week.",Bonus Points/Rewards/Promos
9/1/2022,Neutral,"I do not know what the Scholastic Book Clubs is, but I assume this is what it is.    This website could cross-sell more effectively because I am buying off of a piece of paper but you could logically connect related items.",Website Performance/Navigation
9/1/2022,Satisfied,"Maneuvering between the educators site, the parents site the kids site and the books club site was confusing.",Website Performance/Navigation
9/1/2022,Very Satisfied,Very pleased with the process of purchasing and the quality of my purchases.,Thanks/Praise
9/1/2022,Satisfied,"I was excited to receive the offers because of my large class order but I was confused about how to redeem them. A disclaimer about using the offers on the checkout page would have been helpful. I kept going back to the shopping page to try to redeem them and was unable to so I gave up. Then when I went to checkout, I saw where the offers were listed.",Bonus Points/Rewards/Promos
9/1/2022,Neutral,"Great site, user friendly. I use it often and have for a number of years.",Thanks/Praise
9/1/2022,Satisfied,"It was fine.  Lots of places to go though.  Had to get a recommendation from my Daughter-in-law,   it would have been nice to know if someone else had already ordered so I didn't order the same thing as someone else.",All Other
9/1/2022,Satisfied,"Would have liked to find all books for a grade level in one spot, not separate by magazine.",Website Filter/Search Options
9/1/2022,Satisfied,"After clicking on a book to get more info., when click X it does not take me back to the screen/flyer I was on. It goes back a few screens.",Website Performance/Navigation
9/1/2022,Disappointed,It’s a pretty slow site and finding the place to enter the teacher code is not user friendly,Connecting Teacher/Class Code
9/1/2022,Satisfied,I can't figure out what my code is to share with parents.,Connecting Teacher/Class Code
9/1/2022,Disappointed,Difficult to navigate on mobile tablet/ touchscreen. Seems like a grave oversight considering how many schools are one-to-one ipad.,Website Mobile Compatibility
9/1/2022,Satisfied,Promo code READS did not stay in my cart but I sent you an email asking for help,Bonus Points/Rewards/Promos
9/1/2022,Neutral,"I saw a book in  the Social Studies section and I clicked on it - Amelia Earhart, and it did not come up.  I even did a search and it didn't come up.",Products Offered/Availability
9/1/2022,Very Satisfied,I was directed to other sites within Scholastic which has never happened before.,Website Performance/Navigation
9/1/2022,Satisfied,I'd like to know if your issues have been fixed? Orders from last year took so long that my students/families quit ordering almost completely.,Hopeful Shipping Improves this Year
9/1/2022,Satisfied,"Every spring and/or summer I receive coupon codes to use for the fall book order, and every year they do not work when I place the order.  Last year, I called in and the operator had not hear of the coupons and could not find them in her system. This year I had the same issue, but I was unable to call anyone due to the offices being closed on Saturday.  I will try again to call next week.  This year I kept the emails and information about what the coupons were for and the amount of bonus points, not just the coupon codes.",Bonus Points/Rewards/Promos
9/1/2022,Satisfied,Last year it took months for orders to be filled. I thought I'd give Scholastic another chance. I hope you have the staff and your paperwork figured out this year!,Hopeful Shipping Improves this Year
9/1/2022,Very Satisfied,Easy way to order books,Thanks/Praise
9/1/2022,Satisfied,"It is my first time.  I’m getting familiar with it.  My son loves books, and we encourage him.",Thanks/Praise
9/1/2022,Very Satisfied,will be getting books after we decide which ones.,Intend to Order in Future
9/1/2022,Neutral,I havent gotten to really look without being prompted to take this survey first.,Interrupted by Survey Pop-up
9/1/2022,Neutral,I just created my first class account after 20 years and found the site very user friendly!!  Thank you!!,Thanks/Praise
9/1/2022,Neutral,Options are not many and it is hard to navigate.,Website Performance/Navigation
9/1/2022,Neutral,difficult to find the 6books section???,Website Performance/Navigation
9/1/2022,Satisfied,"Navigation is not easy.      After a while, I was able to figure it out because it is Saturday evening and I have time.  However, I am unsure if I can frequent this site while at school, as it will take to much of my time.",Website Performance/Navigation
9/1/2022,Very Satisfied,I left one student order at school.  I will have to finish when I get back to school.,Intend to Order in Future
9/1/2022,Very Satisfied,It’s wasy,Thanks/Praise
9/1/2022,Neutral,More girl books for empowering,Products Offered/Availability
9/1/2022,Very Satisfied,Better and easier to use...,Thanks/Praise
9/1/2022,Very Satisfied,Great organization and did not error code when I used my bonus point codes!,Thanks/Praise
9/1/2022,Very Satisfied,Great affordable books. I love that there is often a deal for a free book!,Thanks/Praise
9/1/2022,Neutral,when having two kids it takes bit to figure it out.      Id like to be able to search according to interest or reading level.  I tried but could not accomplish it as well as I thought,Website Filter/Search Options
9/1/2022,Very Satisfied,I’m excited Scholastic is still doing things with classrooms. I remember how exciting Scholastic Book Fairs were.,Thanks/Praise
9/1/2022,Neutral,For a first time user it was hard to figure out if was supposed to creat an account after typing in the classroom code.  There isn't a button below the classroom code location to click. You have to exit from that screen which then links you to the correct page.  Now I have a teacher account set up and I'm not a teacher.,Connecting Teacher/Class Code
9/1/2022,Satisfied,Wondering why I would see a lot more books when we. We’re in public schools vs how few profiled  books are  viewable as a parent at a private school.,All Other
9/1/2022,Neutral,Website design is lacking in maneuverability and layout seems cluttered,Website Performance/Navigation
9/1/2022,Satisfied,Sometimes get lost when maneuvering through the website.,Website Performance/Navigation
9/1/2022,Neutral,"It is sometimes difficult to find books on your website in the topics and age group that I am looking for. I always come here first, but I get fed up frequently and go to Amazon. I would prefer to buy from you.",Website Filter/Search Options
9/1/2022,Very Satisfied,My kids are so happy to soon be receiving their books!,Thanks/Praise
9/1/2022,Very Satisfied,Really easy!,Thanks/Praise
9/1/2022,Satisfied,not sure why you can't go to book club and regular scholastic site,Website Performance/Navigation
9/1/2022,Satisfied,"I would like to order some books about apples, but having a difficult time finding them.  I would also like to receive order forms to send home to my students.  I have 20 kids this year.",Kits
9/1/2022,Very Satisfied,It's wonderful - we can add the on-line orders from parents using this site.,Thanks/Praise
9/1/2022,Satisfied,"I wish I have some option to be able to order indivisual book also along with in a pack style.  I have purchased several different series (ex, Owl diaries and Unicorn diaries) in a pack series style.  However I wish I could purchase book #5 alone as an option also.",Products Offered/Availability
9/1/2022,Neutral,I tried entering the code READS for a $5 free book pick and it kept telling me that code was expired despite the fact that that is the code listed under the tab current promotions at the top of the webpage and it's also the code on the physical flyers that were sent home with from my child's teacher.  I would like to have that $5 free book pick credited to my account.  I am also a teacher and experienced a lot of difficulties last year with book clubs and orders coming on time so was hoping that wouldn't be an issue this year but seems we're already having issues again.,Bonus Points/Rewards/Promos
9/1/2022,Satisfied,It was too slow.,Website Performance/Navigation
9/1/2022,Very Satisfied,"I'd really like the shipping fee to go away. Usually my order is over $25 and submitted online so that we don't have the fee, just by chance. I can't always promise that will be met though, and then who pays shipping fees? To make it a friendly purchase, shipping fees need not be a worry for educators using your product. Even if that means the books have a built in shipping cost on the price tag.",Price
9/1/2022,Very Satisfied,Love scholastic keep doing what you're doing!,Thanks/Praise
9/1/2022,Very Disappointed,Trying to steal money out of my account without me making any purchases and not being active on the site so very confused decided to cancel my card and remove it from your site,All Other
9/1/2022,Satisfied,I kept being logged out.,Website Performance/Navigation
9/1/2022,Neutral,"I have not been an active Scholastic user since I became a literacy teacher,    I did not have a regular classroom, so I did not need to use the book clubs for a variety of grades. .  I had lots of unused points when I was in another district long ago and would like to know if I can use those points.  I will become a 4th grade teacher Tuesday, I need to create a classroom library.  In the past my parents did not order on line.     How quickly are book orders being processed this year?  I had heard there were delivery problems during the pandemic.  I would like to send an order out as soon as I receive the book club papers.",Connecting Teacher/Class Code
9/1/2022,Very Satisfied,Our oldest didn't have the website as an option for a long time so I absolutely love the ease of using this site for our youngest!,Thanks/Praise
9/1/2022,Very Satisfied,When entering the information it was difficult at first after Registration to find the school code it didn’t take me there immediately. I had to log out and go back in,Connecting Teacher/Class Code
9/1/2022,Very Satisfied,I like to see more books for 1.00  if possible,Price
9/1/2022,Very Satisfied,"Excellent website! I wish I could choose the amount I could donate rather than 1, 2, 5 ,10...being able to enter an amount would be great!",All Other
9/1/2022,Neutral,Very user friendly!,Thanks/Praise
9/1/2022,Neutral,Sucks when ordering online you pay sales tax but don't when using paper order form.,Price
9/1/2022,Satisfied,"Sometimes getting to the book fair on my cellphone is confusing, because the first page that pops up isn’t my home page. I have figured it out after a few visits last year though.",Website Mobile Compatibility
9/1/2022,Neutral,I love that you guys provide this still for kids.  I remember when I was in elementary school and I loved getting these books,Thanks/Praise
9/1/2022,Neutral,It is not easy to search on this site.  Also the options for 2nd grader seemed limited.,Website Filter/Search Options
9/1/2022,Neutral,"It was difficult to figure out how to change my child’s teacher for the new academic year, confounded by two listings for the preschool, one of which does not work. (Of course, this latter may not be Scholastic’s fault.) I also had some slight difficulties getting buttons to appear above typing boxes on my phone while trying to change the teacher.  Otherwise, I love Scholastic Books and remember the flyers fondly from my own school days.",Connecting Teacher/Class Code
9/1/2022,Neutral,I feel the letter provided to my parents was not friendly.  It was awkward and I would not use it and would probably not order if I were receiving it as a parent.,All Other
9/1/2022,Neutral,"When I tried to look inside of some of the books, I just got a blank page.",Products Offered/Availability
9/1/2022,Neutral,Not understanding all the difference clubs you’re talking about just wants to order books for my son that I can read to him.,Website Performance/Navigation
9/1/2022,Neutral,Wanted to look at Honey Bee flyer too. Could not access it.,Website Performance/Navigation
9/1/2022,Neutral,It asked if I wanted to complete the survey after my order the. I clicked yes it took me directly to the survey.,Interrupted by Survey Pop-up
9/1/2022,Very Satisfied,This is my first order of the year. I did not order last year due to the extended time it took to get the books delivered. I'm hoping that this problem has been resolved and I can expect my books delivered in a reasonable amount of time. I would love to continue to use Scholastic Books again!,Hopeful Shipping Improves this Year
9/1/2022,Satisfied,Got to this page before I was done ordering,Interrupted by Survey Pop-up
9/1/2022,Neutral,The site isn’t mobile friendly on all pages.,Website Mobile Compatibility
9/1/2022,Very Satisfied,It was very easy to submit orders for two grandkids.,Thanks/Praise
9/1/2022,Satisfied,Im not sure if it was my device or the site but it kept zooming in too much.,Website Mobile Compatibility
9/1/2022,Neutral,It took way too long to find where I was going.,Website Performance/Navigation
9/1/2022,Very Satisfied,EASY TO USE - EASY TO SEE WHERE TO ENTER THE BOOK AND CLASS CODES,Thanks/Praise
9/1/2022,Very Satisfied,Everything was super easy to locate and also attaching it to the child’s teacher.,Thanks/Praise
9/1/2022,Very Satisfied,I am about to submit my order when the survey poped up! So I’ll place here soon! :),Interrupted by Survey Pop-up
9/1/2022,Very Disappointed,"I cannot get logged in with my email address. It says The account associated with this email address may not be active. For help, call 1-800-724-6527. When I called the number it says that they are closed.",Website Performance/Navigation
9/1/2022,Satisfied,It was hard to see the free books to choose from on the mobile website.,Website Mobile Compatibility
9/1/2022,Very Satisfied,Love the easiness of using this site.   My students love getting books delivered from Scholastic.,Thanks/Praise
9/1/2022,Satisfied,"I am looking for a place to request Flyers to be sent to me, but I can't seem to find a spot to put a request in. I want to send the flyers home with the students asap, but haven't received any flyers yet.",Kits
9/1/2022,Disappointed,"I am both a teacher and parent.  I had a ton of difficulty initially signing up back in 2020 and some how signed up as a teacher.  Although I am a teacher I do not do book clubs.   I did find your hidden feature to shop as a parent, but it got really frustrating after that to find my child's teacher from there.  As a teacher, I know parents and students want a giant, obvious buttons.  I want it to be user friendly to find their teacher and order.  I also get irritated when the items I try to order during book fairs are not available for some odd reason.  I do not want to give my child a blank check, but I would purchase in advance and pick up on site.",Connecting Teacher/Class Code
9/1/2022,Satisfied,Sometimes I wish there were more books to choose from.,Products Offered/Availability
9/1/2022,Neutral,"I was in the middle of trying to order when a request to survey popped up. It asked if I’d complete it once I was done. When I said yes, it took me here and I couldn’t finish my order at this time. It was annoying. I gave a yes for the order assuming it would tout me back one e done. Here’s to hoping.",Interrupted by Survey Pop-up
9/1/2022,Very Satisfied,"I am looking forward to getting my box in a timely manner this year.  I am, however, very disappointed that my families do not have access to $1 book choices any longer.    Please note, my rating below is dependent upon how quickly I receive my order.",Hopeful Shipping Improves this Year
9/1/2022,Very Disappointed,"It is very difficult to make an order for my children's classrooms when I am a teacher, too. Why can't I switch between parent and teacher?",Website Performance/Navigation
9/1/2022,Satisfied,I was disappointed to see that shipping to the house was no longer an option if you placed an order through your child’s teacher.,Ship to Home
9/1/2022,Very Satisfied,I have not received any book order forms from scholastic for this school year yet.  Would love to send them out to my parents.,Kits
9/1/2022,Disappointed,Inadequate search results looking for an ewallet,Account Balance/Payment
9/1/2022,Very Satisfied,Easy experience.,Thanks/Praise
9/1/2022,Disappointed,"Had trouble just navigating through the selections. Could not get the code right for free book.   Like the old fashioned paper copy of the order form.   I’m grandma, and I love buying her books. It’s just that each time the model number of my phone goes up, my IQ goes down.",Website Performance/Navigation
9/1/2022,Very Satisfied,I set up my Class Page and added some items to our Classroom Wishlist. Process was easy and simple.,Thanks/Praise
9/1/2022,Satisfied,i tried to add 10.00 to e thing lol. it is weekend so i hope tues it shows up. on the bal it dos not,Account Balance/Payment
9/1/2022,Very Satisfied,Great website friendly and easy to use.,Thanks/Praise
9/1/2022,Neutral,Please stop promoting woke lgbt books to young children.,Products Offered/Availability
9/1/2022,Very Satisfied,"Easy to navigate the site and find what I'm looking for,  thanks for making it easy to share the parent letter through whatever tech I already use (instead of making me share it only through your site) by being able to copy it.",Thanks/Praise
9/1/2022,Satisfied,"The dollar books shouldn't have to be ""unlocked."" They used to be clearly easy to find.",Bonus Points/Rewards/Promos
9/1/2022,Very Satisfied,Everything worked great,Thanks/Praise
9/1/2022,Very Satisfied,"I am both a parent and a teacher. But, I sent out an order form to my new class as a teacher and now can only access as a parent, so my class cannot order since I am no longer listed as a teacher too... Not sure how this occurred, but it says I must call to fix this. I searched by my class code TKGD7 and by my school (Thornebrooke Elementary) and I am no longer listed. :(  I hope this is fixable soon.  I usually do not have problem with scholastic. I have been a happy customer for years.",All Other
9/1/2022,Very Satisfied,Very easy to get started and navigate through the site.,Thanks/Praise
9/1/2022,Satisfied,Not the easiest site to navigate (mobile) but a great selection of books!,Website Mobile Compatibility
9/1/2022,Very Satisfied,"The site was very easy to use and provided a lot of good information. As long as my order is delivered within a reasonable time frame, I will be very satisfied.",Hopeful Shipping Improves this Year
9/1/2022,Very Satisfied,"There's a book advertised in email from the Scholastic  Teacher store that i've wanted to order for the last 2 years, but I can't find it in the book clubs.  It's called I Forgot:  The day I forgot to wash my hands.",Products Offered/Availability
9/1/2022,Very Disappointed,"Still disappointed at the dwindling amount of Spanish language titles available, as well as the bonus point/free options not including any titles in Spanish is  a shame given you have a catalogue dedicated to Spanish language titles.",Products Offered/Availability
9/1/2022,Very Satisfied,"sdfghjklkjuhygtfdcvbnm,./",All Other
9/1/2022,Neutral,Its very hard to shop because its not organized in a way to easily checkout and browse.,Website Performance/Navigation
9/1/2022,Satisfied,I wish that I could have the flyers shipped to my home instead of the school because I don't always get the flyers in a timely manner.,Kits
9/1/2022,Neutral,It is not very phone-friendly.,Website Mobile Compatibility
9/1/2022,Very Satisfied,Site and Flyers are easy to browse The pop up descriptions were very helpful!,Thanks/Praise
9/1/2022,Neutral,Navigation/sorting could use some tweaking to minimize the amount of selection/space it takes up,Website Filter/Search Options
9/1/2022,Neutral,Not a good set up on the iPhone,Website Mobile Compatibility
9/1/2022,Very Satisfied,"Wish you had more books by Audrey Wood, Eric Carle, Tomie dePoala, and Jan Brett",Products Offered/Availability
9/1/2022,Very Disappointed,I ordered books three weeks ago and the order status has not changed. There is no estimated date of delivery or way to check ot.,Delayed Shipping/Delivery
9/1/2022,Disappointed,I really wish this site was easier to navigate via smart phone. It was very difficult to see everything that was offered.,Website Mobile Compatibility
9/1/2022,Neutral,Still working on order,All Other
9/1/2022,Neutral,It was hard to choose the free book it didn’t fit on page so I didn’t know what exactly I was looking at,Website Performance/Navigation
9/1/2022,Satisfied,"Sometimes it's hard to find what I'm looking for.    My teaching assignment changed and now I teach an average of 48 students total, so I'm requesting 50 catalogs for all levels appropriate for 4th grade.  Thank you.",Website Performance/Navigation
9/1/2022,Neutral,trying to figure out where to add in my school code,Connecting Teacher/Class Code
9/1/2022,Very Satisfied,"Super easy to create an account, find my child's teacher, and enter the codes from the Scholastic flyer. The whole thing took maybe 5 minutes. Thank you1",Thanks/Praise
9/1/2022,Very Satisfied,Easy for multiple kids in classes!,Thanks/Praise
9/1/2022,Satisfied,Easy to sign in and place an order.,Thanks/Praise
9/1/2022,Satisfied,How to look up for the book,Website Filter/Search Options
9/1/2022,Very Satisfied,Flyer said we would get a free 5 dollar book for  Orders over 25 but the checkout did not reflect that deal,Bonus Points/Rewards/Promos
9/1/2022,Neutral,This website is very easy to use. No issues,Thanks/Praise
